company_name,city,state,pin_code,company_type,contact_number,company_website
 3M India Ltd  ,Bangalore,Karnataka,560001, India's Top 500, (080) 66595759,"<a href=""http://www.3m.com""  target=""_blank"">www.3m.com</a>"
 A B Industries  ,Bareja,Gujarat,382435, SMEs, (02718) 245886  8000937084,"<a href=""http://www.abindustries.co.in""  target=""_blank"">www.abindustries.co.in</a>"
 A B Motors Pvt Ltd ( Bhagat Volvo Cars )  ,Ludhiana,Punjab,141003, Industry Top, (0161) 3075506,"<a href=""http://www.bhagatgroup.com""  target=""_blank"">www.bhagatgroup.com</a>"
 A Nataraza Agency  ,Attur,TamilNadu,636102, Industry Top, (04282) 9443943229 240316,Website Not Found
 A Raymond Fasteners India Pvt Ltd  ,Rajgurunagar,Maharashtra,410501, MNC, (02135) 676200,"<a href=""http://www.araymond-automotive.com""  target=""_blank"">www.araymond-automotive.com</a>"
 A V Motors  ,Secunderabad,AndhraPradesh,500003, SMEs, (040) 9505516655,"<a href=""http://www.avmotors.co.in""  target=""_blank"">www.avmotors.co.in</a>"
" A V Motors, Hyderabad  ",Hyderabad,Telangana,500018, Industry Top, (040) 23808283  23808284,"<a href=""http://www.avmotors.Co.In""  target=""_blank"">www.avmotors.Co.In</a>"
 A.G. Industries Pvt Ltd  ,Gurgaon,Haryana,122015, Industry Top, (0124) 4604701  4604700,"<a href=""http://www.agindus.com""  target=""_blank"">www.agindus.com</a>"
 A.R.Moulds & Dies India Pvt Ltd  ,Coimbatore,TamilNadu,641015, SMEs, (0422) 2532815  9894632815,"<a href=""http://www.armoulds.com""  target=""_blank"">www.armoulds.com</a>"
 AA Autotech Pvt Ltd  ,Gurgaon,Haryana,122104, Industry Top, (0124) 4232028  4232029,"<a href=""http://www.aaautotech.co.in""  target=""_blank"">www.aaautotech.co.in</a>"
 AAA Vehicleades Pvt Ltd  ,NewDelhi,Delhi,110017, Industry Top, (011) 46664000,"<a href=""http://www.vehicleades.com""  target=""_blank"">www.vehicleades.com</a>"
 Aaaron Fiat  ,Kolhapur,Maharashtra,416215, Industry Top, (0231) 9766285858,"<a href=""http://www.aaronfiat.com""  target=""_blank"">www.aaronfiat.com</a>"
 Aadhi Cars Pvt Ltd  ,Coimbatore,TamilNadu,641035, Industry Top, (0422) 4000600,"<a href=""http://www.aadhimaruti.com""  target=""_blank"">www.aadhimaruti.com</a>"
 Aadhira CNC Product Pvt Ltd  ,Coimbatore,TamilNadu,641035, SMEs, (0422) 2367700  2367777,"<a href=""http://www.aadhira.com""  target=""_blank"">www.aadhira.com</a>"
 Aadit Auto Co. Pvt Ltd ( Capital Honda )  ,Chennai,TamilNadu,600027, Industry Top, (044) 43216000,"<a href=""http://www.capitalhonda.in""  target=""_blank"">www.capitalhonda.in</a>"
 Aadit Auto Company Pvt Ltd  ,Thanjavur,TamilNadu,613007, Industry Top, (04362) 256000  9244994000,Website Not Found
" Aadit Auto Company Pvt Ltd(Capital Honda), Trichy  ",Trichy,TamilNadu,602010, Industry Top, (0431) 2200490  2200491,Website Not Found
 Aadya Fiat  ,Bangalore,Karnataka,560045, Industry Top, (080) 43250000  9900045152,"<a href=""http://www.aadya.co.in""  target=""_blank"">www.aadya.co.in</a>"
 Aadya Motors  ,Bangalore,Karnataka,560045, SMEs, (080) 9480839039,"<a href=""http://www.aadya.co.in""  target=""_blank"">www.aadya.co.in</a>"
 Aadyam Automobiles Pvt Ltd  ,Aurangabad,Maharashtra,431003, Industry Top, (0240) 6606666,"<a href=""http://www.aadyamauto.com""  target=""_blank"">www.aadyamauto.com</a>"
 Aakar Bajaj  ,Vapi,Gujarat,396195, SMEs, (0260) 2427613,Website Not Found
 Aakash Auto Pvt Ltd  ,Puducherry(Pondicherry),TamilNadu,605004, SMEs, (0413) 2204400  9842936633,"<a href=""http://www.aakashauto.in""  target=""_blank"">www.aakashauto.in</a>"
 Aalo Two Wheelers  ,Kolkata,WestBengal,741123, Industry Top, (033) 9749231199,Website Not Found
 Aan Automobiles  ,Rajkot,Gujarat,360003, Industry Top, (0281) 9824490900,Website Not Found
 Aaradhaya Automobiles  ,Kangra,HimachalPradesh,176001, SMEs, (01892) 9218493197,Website Not Found
 Aaradhya Auto Pvt Ltd  ,Nashik,Maharashtra,422101, SMEs, (0253) 2417001,Website Not Found
 Aarna Lube Pvt Ltd  ,Bassein,Maharashtra,410208, SMEs, (0250) 6591031  6591035,"<a href=""http://www.aarnalube.com""  target=""_blank"">www.aarnalube.com</a>"
 Aaron Helmets Pvt Ltd  ,NewDelhi,Delhi,110078, Industry Top, (011) 9810727658,Website Not Found
 Aaron Wheels Llp  ,Kolhapur,Maharashtra,416008, SMEs, (0231) 2660785  9766285858,Website Not Found
 Aarson Motors  ,Raipur,Chattisgarh,492001, Industry Top, (0771) 4210666,"<a href=""http://www.aarsonhero.com""  target=""_blank"">www.aarsonhero.com</a>"
 Aashiya Superbikes  ,Jodhpur,Rajasthan,342003, SMEs, (0291) 9829027639  9314148887,Website Not Found
 Aastha Autotech Pvt Ltd  ,Ludhiana,Punjab,141010, SMEs, (0161) 9653681284,"<a href=""http://www.aasthaautotech.com""  target=""_blank"">www.aasthaautotech.com</a>"
 Aban Exim Pvt Ltd  ,NewDelhi,Delhi,110065, SMEs, (011) 41326444,Website Not Found
